onset	duration	response_time	value	stimuli
4211	3000	1364	1	SHOE.bmp    
11216	3000	855 	1	MOTORCYC.bmp
18221	3000	1369	1	WHIP.bmp    
25209	3000	1258	1	TRACTOR.bmp 
32214	4000	892 	0	NAILFILE.bmp
40219	4000	988 	1	RULER.bmp   
48208	3000	2237	0	WEATHERV.bmp
55213	3000	1111	0	ROOSTER.bmp 
62217	4000	1042	1	ROCKET.bmp  
70206	3000	1221	1	SWAN.bmp    
77210	4000	979 	0	PICTURE.bmp 
85216	4000	1218	1	SYRINGE.bmp 
93206	3000	1310	1	VASE.bmp    
100210	4000	1115	1	PAINTBRU.bmp
108215	3000	915 	1	SOCK.bmp    
115220	4000	1585	1	LAMP.bmp    
123209	4000	1011	1	STOOL.bmp   
131214	3000	1104	1	PIPE.bmp    
138219	4000	957 	1	Scale.bmp   
146208	4000	1398	1	PANTS.bmp   
154214	4000	1110	1	WELL.bmp    
162218	3000	1068	1	LOCK.bmp    
169207	4000	1931	1	HYENA.bmp   
177212	3000	892 	1	WHEEL.bmp   
184217	4000	1026	1	POT.bmp     
192206	3000	1370	1	SCREW.bmp   
199210	4000	1466	1	LIGHTBUL.bmp
207216	4000	1195	1	SNAIL.bmp   
215205	3000	1131	1	NECKLACE.bmp
222210	3000	1321	1	MOON.bmp    
229215	3000	1123	1	RAT.bmp     
236203	4000	1108	1	ski.bmp     
244208	3000	1043	1	PIANO.bmp   
251213	4000	rien	0	HARMONIC.bmp
259203	4000	1324	1	SHIRT.bmp   
267208	4000	1216	1	LION.bmp    
275213	4000	1183	1	NAIL.bmp    
283202	4000	1017	1	WINDOW.bmp  
291206	3000	952 	1	WOLF.bmp    
298211	4000	1141	1	HAT.bmp     
306201	3000	1190	1	HAMMER.bmp  
313205	3000	1642	1	SAW.bmp     
320210	4000	1417	1	TRUMPET.bmp 
328215	3000	1574	1	CIGARETT.bmp
335204	3000	1024	1	GLASS.bmp   
342208	3000	1039	1	KNIFE.bmp   
349213	4000	1050	1	NOSE.bmp    
357202	3000	1081	1	TELEPHON.bmp
364207	3000	1093	1	PELICAN.bmp 
371212	4000	1319	1	UMBRELLA.bmp
379201	3000	2658	1	LADYBUG.bmp 
386204	3000	1260	1	MICROSCO.bmp
393209	4000	1436	1	ZEBRA.bmp   
401199	3000	890 	1	SKULL.bmp   
408203	3000	1057	0	SKIRT.bmp   
415208	4000	1066	1	PLUG.bmp    
423213	3000	1482	1	HARP.bmp    
430201	4000	1217	1	PEAR.bmp    
438207	4000	1029	1	SNAKE.bmp   
446212	3000	2488	1	OSTRICH.bmp 
453201	4000	1419	1	LEG.bmp     
461206	3000	1009	1	MOUNTAIN.bmp
468211	4000	1376	1	LADDER.bmp  
476200	4000	2110	1	PLIERS.bmp  
484205	4000	1021	1	TIE.bmp     
492211	4000	946 	1	RABBIT.bmp  
500200	4000	1170	1	WATERING.bmp
508204	3000	1174	1	SPIDER.bmp  
515209	3000	1350	1	TIGER.bmp   
522197	4000	1078	1	PALMTREE.bmp
530203	3000	3296	1	PEACOCK.bmp 
537208	3000	1087	1	RING.bmp    
544197	3000	1540	0	MONKEY.bmp  
551201	3000	1664	1	SQUIRREL.bmp
